,aqi,city,code,indicator,level,time
125,57,六安市,341500,"颗粒物(PM10),臭氧1小时",良,2018-06-15 22:00:00
126,84,亳州市,341600,臭氧1小时,良,2018-06-15 22:00:00
127,74,池州市,341700,臭氧1小时,良,2018-06-15 22:00:00
128,59,宣城市,341800,颗粒物(PM10),良,2018-06-15 22:00:00
129,40,福州市,350100,,优,2018-06-15 22:00:00
130,51,厦门市,350200,颗粒物(PM10),良,2018-06-15 22:00:00
131,34,莆田市,350300,,优,2018-06-15 22:00:00
132,51,三明市,350400,颗粒物(PM10),良,2018-06-15 22:00:00
133,29,泉州市,350500,,优,2018-06-15 22:00:00
134,60,漳州市,350600,颗粒物(PM10),良,2018-06-15 22:00:00
135,51,南平市,350700,颗粒物(PM10),良,2018-06-15 22:00:00
136,60,龙岩市,350800,颗粒物(PM10),良,2018-06-15 22:00:00
137,32,宁德市,350900,,优,2018-06-15 22:00:00
138,62,南昌市,360100,颗粒物(PM10),良,2018-06-15 22:00:00
139,64,景德镇市,360200,颗粒物(PM10),良,2018-06-15 22:00:00
140,73,萍乡市,360300,细颗粒物(PM2.5),良,2018-06-15 22:00:00
141,87,九江市,360400,细颗粒物(PM2.5),良,2018-06-15 22:00:00
142,58,新余市,360500,颗粒物(PM10),良,2018-06-15 22:00:00
143,109,鹰潭市,360600,细颗粒物(PM2.5),轻度污染,2018-06-15 22:00:00
144,87,赣州市,360700,细颗粒物(PM2.5),良,2018-06-15 22:00:00
145,84,吉安市,360800,细颗粒物(PM2.5),良,2018-06-15 22:00:00
146,66,宜春市,360900,颗粒物(PM10),良,2018-06-15 22:00:00
147,68,抚州市,361000,细颗粒物(PM2.5),良,2018-06-15 22:00:00
148,68,上饶市,361100,颗粒物(PM10),良,2018-06-15 22:00:00
149,67,济南市,370100,颗粒物(PM10),良,2018-06-15 22:00:00
150,65,章丘市,370181,颗粒物(PM10),良,2018-06-15 22:00:00
151,41,青岛市,370200,,优,2018-06-15 22:00:00
152,33,胶州市,370281,,优,2018-06-15 22:00:00
153,24,即墨市,370282,,优,2018-06-15 22:00:00
154,39,平度市,370283,,优,2018-06-15 22:00:00
155,25,胶南市,370284,,优,2018-06-15 22:00:00
156,28,莱西市,370285,,优,2018-06-15 22:00:00
157,64,淄博市,370300,颗粒物(PM10),良,2018-06-15 22:00:00
158,66,枣庄市,370400,颗粒物(PM10),良,2018-06-15 22:00:00
159,48,东营市,370500,,优,2018-06-15 22:00:00
160,39,烟台市,370600,,优,2018-06-15 22:00:00
161,50,莱州市,370683,,优,2018-06-15 22:00:00
162,38,蓬莱市,370684,,优,2018-06-15 22:00:00
163,31,招远市,370685,,优,2018-06-15 22:00:00
164,51,潍坊市,370700,颗粒物(PM10),良,2018-06-15 22:00:00
165,48,寿光市,370783,,优,2018-06-15 22:00:00
166,62,济宁市,370800,臭氧1小时,良,2018-06-15 22:00:00
167,62,泰安市,370900,颗粒物(PM10),良,2018-06-15 22:00:00
168,47,威海市,371000,,优,2018-06-15 22:00:00
169,61,文登市,371081,颗粒物(PM10),良,2018-06-15 22:00:00
170,35,荣成市,371082,,优,2018-06-15 22:00:00
171,30,乳山市,371083,,优,2018-06-15 22:00:00
172,31,日照市,371100,,优,2018-06-15 22:00:00
173,55,莱芜市,371200,颗粒物(PM10),良,2018-06-15 22:00:00
174,48,临沂市,371300,,优,2018-06-15 22:00:00
175,94,德州市,371400,臭氧1小时,良,2018-06-15 22:00:00
176,82,聊城市,371500,臭氧1小时,良,2018-06-15 22:00:00
177,51,滨州市,371600,颗粒物(PM10),良,2018-06-15 22:00:00
178,85,菏泽市,371700,臭氧1小时,良,2018-06-15 22:00:00
179,64,郑州市,410100,颗粒物(PM10),良,2018-06-15 22:00:00
180,71,开封市,410200,颗粒物(PM10),良,2018-06-15 22:00:00
181,58,洛阳市,410300,颗粒物(PM10),良,2018-06-15 22:00:00
182,76,平顶山市,410400,颗粒物(PM10),良,2018-06-15 22:00:00
183,68,安阳市,410500,颗粒物(PM10),良,2018-06-15 22:00:00
184,64,鹤壁市,410600,颗粒物(PM10),良,2018-06-15 22:00:00
185,71,新乡市,410700,颗粒物(PM10),良,2018-06-15 22:00:00
186,77,焦作市,410800,臭氧1小时,良,2018-06-15 22:00:00
187,71,濮阳市,410900,颗粒物(PM10),良,2018-06-15 22:00:00
188,70,许昌市,411000,颗粒物(PM10),良,2018-06-15 22:00:00
189,61,漯河市,411100,颗粒物(PM10),良,2018-06-15 22:00:00
190,52,三门峡市,411200,颗粒物(PM10),良,2018-06-15 22:00:00
